price,signals,cash,positions,wealth
429.89,0,1000.0,0.0,1000.0
429.87,0,1000.0,0.0,1000.0
429.77,0,1000.0,0.0,1000.0
429.81,0,1000.0,0.0,1000.0
429.77,0,1000.0,0.0,1000.0
429.7,0,1000.0,0.0,1000.0
429.63,0,1000.0,0.0,1000.0
429.7,0,1000.0,0.0,1000.0
429.73,0,1000.0,0.0,1000.0
429.72,0,1000.0,0.0,1000.0
429.86,0,1000.0,0.0,1000.0
429.84,0,1000.0,0.0,1000.0
429.81,0,1000.0,0.0,1000.0
429.77,0,1000.0,0.0,1000.0
429.78,1,570.22,429.78,1000.0
429.79,1,140.43,859.58,1000.01
429.88,0,140.43,859.76,1000.19
429.73,0,140.43,859.46,999.8900000000001
429.79,0,140.43,859.58,1000.01
429.84,-1,570.27,429.84,1000.1099999999999
429.77,-1,1000.04,0.0,1000.04
429.72,0,1000.04,0.0,1000.04
429.73,1,570.31,429.73,1000.04
429.73,1,140.57999999999993,859.46,1000.04
429.8,0,140.57999999999993,859.6,1000.18
429.77,-1,570.3499999999999,429.77,1000.1199999999999
429.78,-1,1000.1299999999999,0.0,1000.1299999999999
429.74,0,1000.1299999999999,0.0,1000.1299999999999
429.73,0,1000.1299999999999,0.0,1000.1299999999999
429.81,0,1000.1299999999999,0.0,1000.1299999999999
429.83,1,570.3,429.83,1000.1299999999999
429.83,1,140.46999999999997,859.66,1000.1299999999999
429.99,-1,570.46,429.99,1000.45
430.05,-1,1000.51,0.0,1000.51
430.06,0,1000.51,0.0,1000.51
430.3,0,1000.51,0.0,1000.51
430.43,0,1000.51,0.0,1000.51
430.36,0,1000.51,0.0,1000.51
430.29,0,1000.51,0.0,1000.51
430.36,0,1000.51,0.0,1000.51
430.32,0,1000.51,0.0,1000.51
430.32,0,1000.51,0.0,1000.51
430.39,0,1000.51,0.0,1000.51
430.22,0,1000.51,0.0,1000.51
430.26,0,1000.51,0.0,1000.51
430.28,1,570.23,430.28,1000.51
430.41,1,139.82,860.82,1000.6400000000001
430.48,0,139.82,860.96,1000.78
430.53,-1,570.3499999999999,430.53,1000.8799999999999
430.54,-1,1000.8899999999999,0.0,1000.8899999999999
430.51,1,570.3799999999999,430.51,1000.8899999999999
430.44,1,139.93999999999988,860.88,1000.8199999999999
430.34,0,139.93999999999988,860.68,1000.6199999999999
430.45,0,139.93999999999988,860.9,1000.8399999999999
430.47,0,139.93999999999988,860.94,1000.8799999999999
430.34,0,139.93999999999988,860.68,1000.6199999999999
430.34,0,139.93999999999988,860.68,1000.6199999999999
430.33,0,139.93999999999988,860.66,1000.5999999999999
430.28,0,139.93999999999988,860.56,1000.4999999999998
430.3,0,139.93999999999988,860.6,1000.54
430.31,0,139.93999999999988,860.62,1000.56
430.26,0,139.93999999999988,860.52,1000.4599999999998
430.24,0,139.93999999999988,860.48,1000.4199999999998
430.11,0,139.93999999999988,860.22,1000.1599999999999
430.16,0,139.93999999999988,860.32,1000.26
430.1,-1,570.04,430.1,1000.14
430.13,0,570.04,430.13,1000.17
430.12,-1,1000.16,0.0,1000.16
430.19,0,1000.16,0.0,1000.16
430.33,0,1000.16,0.0,1000.16
430.31,0,1000.16,0.0,1000.16
430.33,0,1000.16,0.0,1000.16
430.22,0,1000.16,0.0,1000.16
430.25,0,1000.16,0.0,1000.16
430.28,0,1000.16,0.0,1000.16
430.27,0,1000.16,0.0,1000.16
430.24,0,1000.16,0.0,1000.16
430.22,0,1000.16,0.0,1000.16
430.28,0,1000.16,0.0,1000.16
430.24,1,569.92,430.24,1000.16
430.31,1,139.60999999999996,860.62,1000.23
430.22,-1,569.8299999999999,430.22,1000.05
430.24,1,139.58999999999992,860.48,1000.0699999999999
430.21,-1,569.8,430.21,1000.01
430.26,-1,1000.06,0.0,1000.06
430.28,0,1000.06,0.0,1000.06
430.26,0,1000.06,0.0,1000.06
430.26,0,1000.06,0.0,1000.06
430.13,0,1000.06,0.0,1000.06
430.03,1,570.03,430.03,1000.06
430.06,1,139.96999999999997,860.12,1000.0899999999999
430.08,0,139.96999999999997,860.16,1000.1299999999999
430.09,0,139.96999999999997,860.18,1000.1499999999999
430.11,0,139.96999999999997,860.22,1000.19
430.11,0,139.96999999999997,860.22,1000.19
430.14,-1,570.1099999999999,430.14,1000.2499999999999
430.12,-1,1000.2299999999999,0.0,1000.2299999999999
430.08,0,1000.2299999999999,0.0,1000.2299999999999
430.11,0,1000.2299999999999,0.0,1000.2299999999999
430.14,1,570.0899999999999,430.14,1000.2299999999999
