price,signals,cash,positions,wealth
79.17,0,1000.0,0.0,1000.0
79.16,1,920.84,79.16,1000.0
79.16,-1,1000.0,0.0,1000.0
79.14,1,920.86,79.14,1000.0
79.12,1,841.74,158.24,999.98
79.14,-1,920.88,79.14,1000.02
79.14,0,920.88,79.14,1000.02
79.19,-1,1000.0699999999999,0.0,1000.0699999999999
79.19,0,1000.0699999999999,0.0,1000.0699999999999
79.2,1,920.8699999999999,79.2,1000.0699999999999
79.2,1,841.6699999999998,158.4,1000.0699999999998
79.21,1,762.4599999999998,237.63,1000.0899999999998
79.22,1,683.2399999999998,316.88,1000.1199999999998
79.2,1,604.0399999999997,396.0,1000.0399999999997
79.2,1,524.8399999999997,475.20000000000005,1000.0399999999997
79.21,-1,604.0499999999997,396.04999999999995,1000.0999999999997
79.19,1,524.8599999999997,475.14,999.9999999999997
79.16,-1,604.0199999999996,395.79999999999995,999.8199999999996
79.14,-1,683.1599999999996,316.56,999.7199999999996
79.19,0,683.1599999999996,316.76,999.9199999999996
79.2,1,603.9599999999996,396.0,999.9599999999996
79.21,1,524.7499999999995,475.26,1000.0099999999995
79.22,1,445.5299999999995,554.54,1000.0699999999995
79.19,1,366.3399999999995,633.52,999.8599999999994
79.22,-1,445.5599999999995,554.54,1000.0999999999995
79.22,1,366.33999999999946,633.76,1000.0999999999995
79.22,1,287.11999999999944,712.98,1000.0999999999995
79.25,1,207.86999999999944,792.5,1000.3699999999994
79.25,1,128.61999999999944,871.75,1000.3699999999994
79.24,-1,207.85999999999945,792.4,1000.2599999999994
79.25,-1,287.10999999999945,713.25,1000.3599999999994
79.24,-1,366.34999999999945,633.92,1000.2699999999994
79.27,-1,445.61999999999944,554.89,1000.5099999999994
79.29,-1,524.9099999999994,475.74,1000.6499999999994
79.31,0,524.9099999999994,475.86,1000.7699999999994
79.33,-1,604.2399999999994,396.65,1000.8899999999994
79.31,1,524.9299999999994,475.86,1000.7899999999994
79.3,1,445.62999999999937,555.1,1000.7299999999993
79.3,1,366.32999999999936,634.4,1000.7299999999993
79.28,1,287.0499999999994,713.52,1000.5699999999994
79.3,-1,366.3499999999994,634.4,1000.7499999999993
79.26,1,287.0899999999994,713.34,1000.4299999999994
79.25,1,207.8399999999994,792.5,1000.3399999999995
79.22,1,128.6199999999994,871.42,1000.0399999999994
79.22,-1,207.8399999999994,792.2,1000.0399999999995
79.23,1,128.6099999999994,871.5300000000001,1000.1399999999994
79.22,-1,207.8299999999994,792.2,1000.0299999999994
79.2,-1,287.0299999999994,712.8000000000001,999.8299999999995
79.19,1,207.8399999999994,791.9,999.7399999999993
79.2,1,128.63999999999942,871.2,999.8399999999995
79.19,-1,207.82999999999942,791.9,999.7299999999993
79.19,-1,287.0199999999994,712.71,999.7299999999994
79.18,-1,366.1999999999994,633.44,999.6399999999994
79.22,-1,445.4199999999994,554.54,999.9599999999994
79.18,-1,524.5999999999995,475.08000000000004,999.6799999999995
79.19,1,445.40999999999946,554.3299999999999,999.7399999999993
79.18,1,366.22999999999945,633.44,999.6699999999995
79.17,0,366.22999999999945,633.36,999.5899999999995
79.16,1,287.0699999999995,712.4399999999999,999.5099999999994
79.16,1,207.90999999999948,791.5999999999999,999.5099999999994
79.16,1,128.7499999999995,870.76,999.5099999999995
79.2,-1,207.94999999999948,792.0,999.9499999999995
79.19,-1,287.1399999999995,712.71,999.8499999999995
79.17,-1,366.3099999999995,633.36,999.6699999999995
