price,signals,cash,positions,wealth
61.41,1,938.59,61.41,1000.0
61.41,-1,1000.0,0.0,1000.0
61.37,0,1000.0,0.0,1000.0
61.38,0,1000.0,0.0,1000.0
61.38,1,938.62,61.38,1000.0
61.37,1,877.25,122.74,999.99
61.38,1,815.87,184.14000000000001,1000.01
61.38,1,754.49,245.52,1000.01
61.36,1,693.13,306.8,999.9300000000001
61.37,1,631.76,368.21999999999997,999.98
61.36,1,570.4,429.52,999.92
61.35,1,509.04999999999995,490.8,999.8499999999999
61.36,-1,570.41,429.52,999.93
61.34,1,509.06999999999994,490.72,999.79
61.34,-1,570.41,429.38,999.79
61.33,1,509.08,490.64,999.72
61.33,-1,570.41,429.31,999.72
61.28,1,509.13,490.24,999.37
61.3,-1,570.43,429.09999999999997,999.53
61.31,1,509.11999999999995,490.48,999.5999999999999
61.31,1,447.80999999999995,551.79,999.5999999999999
61.31,1,386.49999999999994,613.1,999.5999999999999
61.3,1,325.19999999999993,674.3,999.4999999999999
61.3,1,263.8999999999999,735.5999999999999,999.4999999999998
61.31,1,202.58999999999992,797.03,999.6199999999999
61.3,1,141.2899999999999,858.1999999999999,999.4899999999998
61.29,1,79.99999999999991,919.35,999.3499999999999
61.3,1,18.699999999999918,980.8,999.4999999999999
61.27,0,18.699999999999918,980.32,999.02
61.29,0,18.699999999999918,980.64,999.3399999999999
61.29,-1,79.98999999999992,919.35,999.3399999999999
61.28,1,18.709999999999923,980.48,999.1899999999999
61.29,0,18.709999999999923,980.64,999.3499999999999
61.3,0,18.709999999999923,980.8,999.5099999999999
61.3,0,18.709999999999923,980.8,999.5099999999999
61.32,0,18.709999999999923,981.12,999.8299999999999
61.34,-1,80.04999999999993,920.1,1000.15
61.31,1,18.739999999999924,980.96,999.6999999999999
61.31,0,18.739999999999924,980.96,999.6999999999999
61.31,-1,80.04999999999993,919.6500000000001,999.7
61.32,1,18.729999999999926,981.12,999.8499999999999
61.31,0,18.729999999999926,980.96,999.6899999999999
61.31,-1,80.03999999999994,919.6500000000001,999.69
61.26,0,80.03999999999994,918.9,998.9399999999999
61.27,0,80.03999999999994,919.0500000000001,999.09
61.29,-1,141.32999999999993,858.06,999.3899999999999
61.29,-1,202.61999999999992,796.77,999.3899999999999
61.3,-1,263.9199999999999,735.5999999999999,999.5199999999998
61.3,1,202.6199999999999,796.9,999.5199999999999
61.27,1,141.34999999999988,857.7800000000001,999.13
61.28,1,80.06999999999988,919.2,999.27
61.3,1,18.769999999999882,980.8,999.5699999999998
61.29,0,18.769999999999882,980.64,999.4099999999999
61.3,0,18.769999999999882,980.8,999.5699999999998
61.31,0,18.769999999999882,980.96,999.7299999999999
61.28,-1,80.04999999999988,919.2,999.2499999999999
61.26,-1,141.3099999999999,857.64,998.9499999999998
61.25,-1,202.5599999999999,796.25,998.81
61.25,-1,263.8099999999999,735.0,998.81
61.25,0,263.8099999999999,735.0,998.81
61.23,0,263.8099999999999,734.76,998.5699999999999
61.25,0,263.8099999999999,735.0,998.81
61.23,-1,325.0399999999999,673.53,998.5699999999999
61.21,1,263.8299999999999,734.52,998.3499999999999
61.18,1,202.64999999999992,795.34,997.99
61.18,-1,263.8299999999999,734.16,997.9899999999999
61.19,-1,325.0199999999999,673.0899999999999,998.1099999999999
61.18,1,263.8399999999999,734.16,997.9999999999999
61.2,1,202.63999999999993,795.6,998.24
61.19,1,141.44999999999993,856.66,998.1099999999999
61.19,1,80.25999999999993,917.8499999999999,998.1099999999999
61.19,-1,141.44999999999993,856.66,998.1099999999999
61.16,1,80.28999999999994,917.4,997.6899999999999
61.16,1,19.12999999999994,978.56,997.6899999999998
61.16,0,19.12999999999994,978.56,997.6899999999998
61.13,0,19.12999999999994,978.08,997.21
61.11,0,19.12999999999994,977.76,996.8899999999999
61.09,0,19.12999999999994,977.44,996.5699999999999
61.12,0,19.12999999999994,977.92,997.05
61.13,0,19.12999999999994,978.08,997.21
61.14,-1,80.26999999999994,917.1,997.37
61.09,0,80.26999999999994,916.35,996.62
61.11,0,80.26999999999994,916.65,996.92
61.11,0,80.26999999999994,916.65,996.92
61.11,0,80.26999999999994,916.65,996.92
61.09,1,19.179999999999936,977.44,996.62
61.08,-1,80.25999999999993,916.1999999999999,996.4599999999998
61.11,-1,141.36999999999995,855.54,996.9099999999999
61.08,1,80.28999999999995,916.1999999999999,996.4899999999999
61.09,1,19.199999999999946,977.44,996.64
61.11,0,19.199999999999946,977.76,996.9599999999999
61.09,0,19.199999999999946,977.44,996.64
61.09,0,19.199999999999946,977.44,996.64
