,a2c,mean var,dji
2022-01-04,1044484.8133882261,1109290.6088134013,1072049.0092032226
2022-01-05,1037149.7256807066,1088206.7972076905,1060613.543624213
2022-01-06,1037445.5117982603,1070169.9356166727,1055642.4332813583
2022-01-07,1033448.8183778501,1051265.7549038234,1055502.3491125081
2022-01-10,1019847.1205247617,1046390.7155190745,1050759.9708406439
2022-01-11,1028168.1052736021,1054327.8787856018,1056095.4593383793
2022-01-12,1027966.2965348936,1061851.4018535623,1057211.239416021
2022-01-13,1027258.8576997495,1046746.956427232,1052063.629848238
2022-01-14,1019120.4782670713,1035628.0792977138,1046184.4190444371
2022-01-18,1012215.0779145933,1018966.6433449758,1030355.8183407617
2022-01-19,1004389.516299603,1006237.6108141392,1020456.1577518436
2022-01-20,999975.7169069028,992476.1529598655,1011330.3171045842
2022-01-21,973695.059268353,986151.8691597704,998220.3279312357
2022-01-24,962907.2910188413,1000808.2564069516,1001108.155675275
2022-01-25,976766.8738435484,988162.07158338,999163.022695456
2022-01-26,987882.250247357,985734.830403775,995386.3261919615
2022-01-27,984387.3733628965,986620.4861151074,995173.4119109552
2022-01-28,1050609.852313397,1021479.189191038,1011623.9134942136
2022-01-31,1052889.1752122617,1036966.2819784594,1023462.903413388
2022-02-01,1075416.8581117368,1035971.0282117891,1031426.9899747075
2022-02-02,1084400.703738568,1047695.8324986727,1037955.1853560493
2022-02-03,1074199.145129559,1034910.921084793,1022859.8928441457
2022-02-04,1067157.686725018,1028135.5712972779,1022235.829820608
2022-02-07,1065623.5151323057,1024379.3164042431,1022276.3415704949
2022-02-08,1075690.182139752,1038506.4248824758,1033103.3343218503
2022-02-09,1085582.0237535215,1048813.5181614782,1041996.6875954616
2022-02-10,1069885.996959088,1024863.7262443482,1026659.5763517894
2022-02-11,1060264.0095552183,1004975.8387612996,1011990.6813871495
2022-02-14,1061079.9820970274,1004821.8719878775,1006983.2697852672
2022-02-15,1075444.049579022,1019359.7442375135,1019296.4520128081
2022-02-16,1077056.1551393247,1017020.0172637069,1017706.7072209007
2022-02-17,1068178.3869050718,998460.6317967036,999579.633696399
2022-02-18,1061227.4560273862,992535.3119551927,992796.1915313601
2022-02-22,1052633.2305711485,954149.301776607,978737.931538329
2022-02-23,1032025.6222337461,936136.086176314,965195.9687622546
2022-02-24,1033124.218165753,946488.6831869751,967878.051439453
2022-02-25,1050140.4593156553,966133.0757626975,992201.0329585845
2022-02-28,1039917.0135072446,965340.1943968368,987360.7892235103
2022-03-01,1000651.9214738584,963333.7812967103,969949.9543332437
2022-03-02,1003859.8464235044,982865.3347567176,987324.3741674323
2022-03-03,1003058.4055970884,978111.5972045072,984507.5557827451
2022-03-04,980076.467181561,977423.1923642945,979267.8844013149
2022-03-07,934998.2615083433,957429.1972423787,956037.3545645248
2022-03-08,933361.603976605,938711.4316890424,950655.55066734
2022-03-09,967282.0674775816,963100.6041752729,969696.5283023505
2022-03-10,965670.9891313291,957829.5005692649,966428.5046134462
2022-03-11,959398.1686967588,943738.759032731,959731.6620036429
2022-03-14,977405.5200837827,937031.4107103935,959762.1596131083
2022-03-15,999726.4205507017,961544.4238151361,977215.2132090154
2022-03-16,1021079.5909761167,977145.5305128172,992327.8028725561
2022-03-17,1033986.3106950498,991017.6911362419,1004495.0972816844
2022-03-18,1053883.1376527525,1004449.2228880508,1012482.170847153
2022-03-21,1044811.7797502256,995957.9174590833,1006599.204740694
2022-03-22,1051516.6544374204,1003686.374996467,1014012.513578833
2022-03-23,1031947.2649339414,991943.8459525498,1000933.3634061004
2022-03-24,1043744.5792115903,1003791.0268608704,1011113.3061297692
2022-03-25,1049647.9445527769,1000317.5297033795,1015579.1575695408
2022-03-28,1057742.285983441,1006796.8836950081,1018336.5738940007
2022-03-29,1080355.9489778257,1018242.8271201827,1028191.9674303739
2022-03-30,1070444.0590318418,1011619.0304271089,1026287.2324033914
2022-03-31,1059506.0997194028,989058.5122434138,1010251.2934741717
2022-04-01,1074586.24138963,991852.0320213523,1014327.3900168579
2022-04-04,1078185.4054292417,1003137.3526265242,1017345.7429775272
2022-04-05,1070990.1064790464,997669.7164121424,1009168.4007440506
2022-04-06,1053895.5499757505,989762.8024924605,1004953.9269882677
2022-04-07,1047202.3322862363,997278.3979687371,1007490.1218470535
2022-04-08,1053239.902667401,1004810.6698141544,1011497.257377292
2022-04-11,1036646.1788209653,986255.2417598831,999464.4710815522
2022-04-12,1024956.3371309019,987046.9762834479,996909.0445212752
2022-04-13,1039390.6376146055,998998.3343342181,1006937.1819799184
2022-04-14,1040115.8946412778,984727.6400894667,1003634.7915818405
2022-04-18,1044484.2669328428,978624.6546462176,1002482.9378392716
2022-04-19,1057585.7225908018,995377.9320826782,1017034.6218421602
2022-04-20,1068180.7665284849,1004571.0364983774,1024305.6843674944
2022-04-21,1060950.950297711,991746.4684404111,1013584.2952787653
2022-04-22,1027148.9453233457,960305.0328336232,984995.1761430401
2022-04-25,1036991.4874681211,968664.741158315,991930.4235731044
2022-04-26,1003826.2359498716,942449.5013869385,968354.405891774
2022-04-27,1035522.2092469907,945231.2962923192,970153.3096620296
2022-04-28,1061092.033488629,978592.6661361284,988053.8132594957
2022-04-29,1026168.9640763975,945136.0387027569,960693.5884693546
2022-05-02,1016874.2883714414,948441.9278424194,963149.1012195174
2022-05-03,1010644.1920121885,947070.7073239957,965109.369207019
2022-05-04,1038287.6243089414,975985.2397868758,992268.2870152786
2022-05-05,1002647.5281480527,930649.8073475009,961298.3059943506
2022-05-06,988531.558223126,927757.8918589965,958425.9546491443
2022-05-09,956945.6684526182,910094.9717722597,939383.15626133
2022-05-10,956057.8106874204,910162.5807927648,936908.1273170502
2022-05-11,959317.3725694395,885222.2812737658,927392.7024682808
2022-05-12,945503.6083329893,879717.3009095774,924368.5458580491
2022-05-13,968515.5149720884,901449.4598781333,937954.548092568
2022-05-16,961920.3464845396,899829.8524242613,938734.1147852638
2022-05-17,967671.4071916318,914506.9773610901,951294.9762926606
2022-05-18,935790.9385637022,868538.4617490048,917370.1410650994
2022-05-19,922012.8984788633,866663.9486567078,910467.6102869802
2022-05-20,926212.6184266782,872338.3830148033,910723.0846647779
2022-05-23,962014.1318467832,885534.4704589038,928736.5887331362
2022-05-24,947446.8289445615,883750.1666939888,930145.9652004068
2022-05-25,955844.1054109312,890484.541756018,935729.4174706239
2022-05-26,978161.7356370664,910056.5025699391,950788.0673323491
2022-05-27,998171.0728334165,930672.073746986,967561.4680456745
2022-05-31,994415.0167878843,918614.9257116545,961069.6877204106
2022-06-01,980528.904178021,916201.0028081654,955916.5020971658
2022-06-02,1000996.8333009458,933644.7699876059,968590.4209739799
2022-06-03,988171.8861650205,916721.6929762156,958435.5136013648
2022-06-06,988843.2610124326,918773.0948013377,958904.016057219
2022-06-07,993781.6943086362,927124.267288141,966605.3452295252
2022-06-08,985446.5128358579,920754.4254053253,958761.769744414
2022-06-09,956461.0229371763,908382.3238247309,940172.3388047713
2022-06-10,929367.3619874693,882106.4780426091,914536.1393258254
2022-06-13,897750.8524583555,853636.9010976799,889015.045563201
2022-06-14,897385.9830812193,846553.819158015,884589.5920762658
2022-06-15,907567.9699586607,856133.6412994415,893436.9713415785
2022-06-16,878687.1315034605,831782.2539150832,871836.7549451077
2022-06-17,886339.2448686338,830695.6217710824,870721.2593600919
2022-06-21,904388.7103379942,854585.6037201531,889408.6126614695
2022-06-22,901258.222072003,856976.4944752837,888035.9357429025
2022-06-23,909266.7910112119,876617.4885713806,893694.2095736548
2022-06-24,941188.6653093076,892814.8736398233,917679.2138535619
2022-06-27,933923.4000123716,895875.1014689647,915860.7938891894
2022-06-28,914688.8104966856,872318.8933184787,901549.1078652652
2022-06-29,915443.1969636655,883064.2064028692,903947.2669021052
2022-06-30,907195.3723329282,875850.4632002286,896551.1983170782
2022-07-01,918055.1539949155,886577.392976759,905926.7665910978
2022-07-05,921098.4042237974,891196.2232680599,902155.9306356908
2022-07-06,921342.6053193784,899261.79030446,904191.0770822527
2022-07-07,929623.7831529356,910624.4275324589,914296.1413468609
2022-07-08,932490.0188401914,913723.9491052888,912944.4030855387
2022-07-11,934310.1308549619,907158.8850017068,908157.7008626044
2022-07-12,931245.6664918638,903886.3648803408,902549.4977339593
2022-07-13,929494.3857225156,897667.6095730008,896474.2715111133
2022-07-14,931707.9658158994,904362.0437610243,892319.4843081833
2022-07-15,953057.8499101377,927697.0355888901,911490.9871598236
2022-07-18,945523.584697125,916495.7254880102,905208.6503055337
2022-07-19,972872.3154252744,941721.0703100984,927187.0711984901
2022-07-20,974220.7217363096,942706.9479415908,928579.264311174
2022-07-21,985672.981143353,951986.2328139009,933300.4194331678
2022-07-22,982139.3382066465,948592.3559841006,929291.5200486506
2022-07-25,984930.8789323545,949562.6172884433,931935.2531199169
2022-07-26,964930.5772966123,937522.9695988623,925278.5808688496
2022-07-27,967491.8531755186,952800.1473287464,937981.6317905261
2022-07-28,975373.872424481,960725.4692053107,947654.6655538832
2022-07-29,982791.3632234312,973708.1254237203,956845.7688094575
2022-08-01,980668.7419694639,971814.7762998533,955484.4146973898
2022-08-02,964125.5484803892,963359.6214617055,943766.6755352501
2022-08-03,973200.1996873594,985094.8127830547,955895.2220487702
2022-08-04,982172.3287156797,981947.908447708,953399.1975487205
2022-08-05,990371.6706575132,984037.9858251225,955632.1232686064
2022-08-08,984226.0713227964,985988.3917653736,956479.0009165215
2022-08-09,979854.2067674375,976664.5582529181,954785.5870118419
2022-08-10,991485.1475023008,993491.6696463906,970374.189736553
2022-08-11,991960.9949372984,988627.6146121896,971165.4206268988
2022-08-12,999385.5434907652,1006747.5902415714,983528.4459624465
2022-08-15,1013465.7938188291,1009516.0703358392,987938.7644416991
2022-08-16,1022888.342875836,1022080.6233999012,994917.9375331576
2022-08-17,1014189.2039521909,1021818.3962333614,989916.2157837874
2022-08-18,1016929.4902986265,1020224.0546938134,990461.5312485562
2022-08-19,1004712.0734437681,1011275.8788034124,981946.2117758553
2022-08-22,983801.7944520689,990759.5768305683,963210.5516266491
2022-08-23,977794.7552140928,980341.7275959693,958723.6477325823
2022-08-24,981017.059672711,983618.385226887,960461.1010957062
2022-08-25,994839.9281877256,992103.7252947434,969857.664925496
2022-08-26,963467.329959271,958454.3105181761,940481.4684917589
2022-08-29,959326.1766313291,951718.4901964642,935109.2235467946
2022-08-30,956011.5837892271,940288.3341437222,926133.0260206059
2022-08-31,945764.0682557798,931161.1639391138,917963.2512909707
2022-09-01,950817.2001603818,939070.7636484004,922216.2453482611
2022-09-02,940421.7470887876,929298.9687879256,912370.183170008
2022-09-06,939855.1414445615,924863.502716124,907326.2996135225
2022-09-07,954160.3788942075,938929.8574855363,920027.2452897694
2022-09-08,957716.8058809019,942636.0232191933,925656.7284668101
2022-09-09,976623.0524095274,949462.5892059827,936645.0854354113
2022-09-12,987035.1889909483,963769.2876427452,943334.6450339991
2022-09-13,953430.526645062,913680.2225660615,906151.4019682793
2022-09-14,953716.0208390928,913675.1266517146,907028.8341241849
2022-09-15,941366.5547212339,909295.1574250419,901981.1383665162
2022-09-16,931229.6092256284,907729.2254237633,897920.1199329871
2022-09-19,935545.7908128477,921872.9464574314,903666.7002747288
2022-09-20,928818.3473466611,917105.1852095849,894535.2835720076
2022-09-21,910428.893832562,901021.1240775777,879315.2125945113
2022-09-22,897614.9662507749,900005.2490779815,876195.1819694492
2022-09-23,883751.7206681943,893753.0848226427,862029.1561698371
2022-09-26,871219.3027604795,886753.9917485713,852427.2455628823
2022-09-27,861999.0339997984,891103.9419769815,848761.8425745262
2022-09-28,873346.3638032652,904489.2808890207,864748.0521927895
2022-09-29,870289.3632158018,882335.8006641984,851401.7634446094
2022-09-30,856869.0398057676,863496.8412936521,836832.8391886088
2022-10-03,877927.7565797544,886289.2214071611,859129.9487207732
2022-10-04,899128.9711793638,906024.4974914847,883176.403407812
2022-10-05,900268.0923951841,910406.0099751059,881939.7139642864
2022-10-06,889398.0876573301,903975.7472067114,871832.9427439246
2022-10-07,876394.4369081235,878026.9738097906,853475.3732941538
2022-10-10,870938.9671205259,872234.4538450139,850739.6353077653
2022-10-11,865629.4676545835,870410.4104222357,851797.3788897824
2022-10-12,861713.8843492246,867357.7875640317,850971.7812902628
2022-10-13,888399.1357377744,884892.6766827196,875089.359133704
2022-10-14,873515.6846955991,870760.4672372675,863323.1993266856
2022-10-17,888722.0306504942,889773.712157218,879374.6715532638
2022-10-18,903808.3309968687,897188.166288678,889220.7337315168
2022-10-19,898228.641375897,887125.0537777971,886307.8137378986
2022-10-20,897847.9666093565,881163.0848850453,883679.5001669403
2022-10-21,908891.1222566343,902454.5181930832,905498.54829103
2022-10-24,916506.5026887632,917721.3246598478,917648.3179544206
2022-10-25,935088.7666810728,931507.1269927023,927469.34478162
2022-10-26,960131.3952592588,926958.1222373049,927538.3626925929
2022-10-27,962632.2934755064,917817.8782121649,933194.9295675916
2022-10-28,983650.572978375,952372.4539771806,957331.4546198986
2022-10-31,974940.1423524595,947215.0705963203,953577.7451205532
2022-11-01,972385.1480592466,937749.1480253467,951254.4645427738
2022-11-02,950938.0464967466,914619.8260092817,936529.9797190897
2022-11-03,929580.1973756528,896063.5005943055,932261.8506541168
2022-11-04,943962.9770692564,896014.5869400357,943972.0792109404
2022-11-07,957269.5012086607,906520.4265847497,956317.6366992756
2022-11-08,966220.4193834043,913653.1621767667,966042.7326131193
2022-11-09,937106.1259263731,892131.2474135887,947197.5428030535
2022-11-10,985551.8155549741,945714.4075303583,982197.7032568944
2022-11-11,985874.5424226499,944927.4954995464,983144.153323773
2022-11-14,984335.9927095152,929808.9842582872,976992.6261787383
2022-11-15,1001860.6818193174,933498.2235424273,978630.5071228988
2022-11-16,1001598.7874101377,936399.236189992,977491.6262440578
2022-11-17,1000724.214473126,937747.8589330694,977272.908313489
2022-11-18,1005198.9933732725,948282.0240779701,983080.9959608875
2022-11-21,995940.4706987119,936736.2573758132,981758.1052518021
2022-11-22,1009864.2646974302,953499.6106399006,993347.4244427414
2022-11-23,1014091.7205613828,956849.4842713278,996142.848981983
2022-11-25,1020838.0687669492,960290.0319809912,1000599.2552665843
2022-11-28,1009814.9952119566,942967.9961978493,986104.0146006166
2022-11-29,1007841.0599931455,932458.1776428447,986193.4590821085
2022-11-30,1033897.9263337827,968962.2787153058,1007670.7177657906
2022-12-01,1034632.9171174741,963839.1723073764,1001997.0244347303
2022-12-02,1035319.5374482847,964442.2648041081,1003012.7769052073
2022-12-05,1020356.1938508726,950655.0584092009,988948.4856685133
2022-12-06,1003559.9134553648,942810.351966649,978730.0795418622
2022-12-07,999168.3006547666,943243.2129999655,978776.1673472109
2022-12-08,1001955.1953233457,954225.5324318836,984123.604535222
2022-12-09,996447.798785565,944372.8822059783,975237.7618669271
2022-12-12,1020166.9638017393,961117.4861597987,990636.3235177308
2022-12-13,1016648.5164827085,963979.0834763837,993654.4488842995
2022-12-14,1011129.3479493833,959552.259342026,989509.2775321152
2022-12-15,988584.9181932188,933427.7689342864,967248.5261575038
2022-12-16,977512.6625016904,921889.8283533464,959040.3449234111
2022-12-19,970450.6382554746,911148.3927294491,954294.0975518386
2022-12-20,973975.1458314634,906802.1609200266,956980.0493287453
2022-12-21,982420.8529161192,927475.4791527796,972325.1263659345
2022-12-22,972774.6165498472,918576.1237211267,962158.2703030438
2022-12-23,977602.4165528989,922511.9974886705,967298.3692655106
2022-12-27,977917.4586366392,921251.978902292,968394.57625051
2022-12-28,968178.4721940733,906702.933399231,957736.685915817
2022-12-29,981830.8506196714,920447.0921096957,967789.858725514
2022-12-30,980866.4997132993,916890.4863622218,965647.1740664716
2023-01-03,980890.6255983091,902926.6221952687,965330.2492815424
2023-01-04,998969.2960466123,903207.7163673907,969216.4185473715
2023-01-05,988920.2142671323,887603.8122544327,959320.5132611117
2023-01-06,1016248.5064653135,900921.9849936378,979728.4210636519
2023-01-09,1016752.4737504697,903860.2376497689,976437.6379646987
2023-01-10,1025267.1519883848,905818.216759148,981869.3987669407
2023-01-11,1032529.3237642027,923128.4533582719,989703.3015027811
2023-01-12,1036332.3918336607,926143.658296438,996023.7034703776
2023-01-13,1037216.4519380308,926815.7258379129,999305.1552112107
2023-01-17,1030381.3458055235,922483.50932872,987892.4490422499
2023-01-18,1011427.3111375547,911041.2155670158,970008.5598141194
2023-01-19,1007525.095004437,903371.604671404,962655.5634126097
2023-01-20,1024332.8861039854,915423.3927073407,972296.2219151725
2023-01-23,1030391.1473954893,923121.7518336566,979697.8096571362
2023-01-24,1031850.6897386289,930028.6670852392,982739.2634190051
2023-01-25,1036041.4197953916,929245.0686694084,983027.056159072
2023-01-26,1034987.1124604917,932298.2208811059,989015.7397252074
2023-01-27,1073234.3888658262,934904.6446138115,989850.8962769475
2023-01-30,1067034.6382096983,926616.7196107677,982247.7739590016
2023-01-31,1076387.1735185361,946816.892364348,992996.0191515884
2023-02-01,1077421.4043992735,953195.508595484,993197.6675246205
2023-02-02,1071802.0103715635,959268.7460251843,992060.9487897343
2023-02-03,1077882.8290437437,957559.284113267,988334.0953942464
2023-02-06,1072511.5793489194,950904.6023371427,987314.7014181616
2023-02-07,1080860.8116563535,953793.980312702,995054.2663993498
2023-02-08,1077279.7141755796,946789.1411407683,989004.1324260825
2023-02-09,1076963.2002137876,942073.7224126889,981746.384155627
2023-02-10,1074071.0050538755,946921.0828500458,986681.0794424036
2023-02-13,1084646.38453233,961496.907342381,997653.9600121718
2023-02-14,1083882.2337983823,954519.8705548354,993090.12931214
2023-02-15,1083767.2900422788,960450.4968003868,994219.9064269615
2023-02-16,1068971.038806317,953502.6831346746,981658.191441688
2023-02-17,1065204.1974824644,954520.5314165029,985440.691594745
2023-02-21,1052474.7834275938,919531.5507176468,965132.697602319
2023-02-22,1049211.1831544614,919465.4408288908,962671.0398114428
2023-02-23,1050809.3748506284,924911.9611082037,965841.1980371374
2023-02-24,1045834.4550584531,912010.2097994833,956024.0403096463
2023-02-27,1045871.7447389341,913529.342055996,958126.4408129024
