,a2c,mean var,dji
2021-10-26,1048683.1134907994,1002271.7330221349,1041671.0004376635
2021-10-27,1021308.6945690428,1002461.0726251423,1033916.4142458431
2021-10-28,1014920.8135031896,1011235.9453719173,1040901.9599721152
2021-10-29,1020907.153607739,1010908.8913208381,1043496.9879058771
2021-11-01,1021019.1978160902,1001449.5947556666,1046243.5935105638
2021-11-02,1015301.970840981,1003628.4542614507,1050286.8027057296
2021-11-03,1014886.0770238005,1012957.5437218897,1053344.1880546326
2021-11-04,1015806.3176342283,1017154.6526329416,1052372.7026367004
2021-11-05,1035099.8858556943,1015278.6916582456,1058307.4464010203
2021-11-08,1046138.1300950742,1015655.2451721507,1061345.0310631809
2021-11-09,1030717.386240376,1019846.5608119786,1058075.300418523
2021-11-10,1036079.3413949667,1005359.0874676214,1051082.471681035
2021-11-11,1024149.5589341855,1003035.3600249853,1046458.8975296255
2021-11-12,1028324.0950762831,1014099.7906869099,1051675.8095010067
2021-11-15,1029495.4192727552,1007815.1769006329,1051301.1896116037
2021-11-16,1029386.8419345937,1029662.2748752551,1052896.7380530736
2021-11-17,999144.8525734334,1035951.1198369688,1046744.9833139386
2021-11-18,991434.0134244543,1052515.1913892357,1044994.1018988858
2021-11-19,980239.0197413221,1055862.8363948588,1037158.4922072919
2021-11-22,967690.664709767,1054005.2910814774,1037661.58896642
2021-11-23,978034.053639668,1057479.710398301,1043329.2510538177
2021-11-24,990549.2326581693,1062973.035357695,1043054.7725686292
2021-11-26,953704.7767671323,1036438.8375352424,1016689.1339976199
2021-11-29,949409.3883317686,1056747.4152879566,1023581.821330893
2021-11-30,931800.416476605,1053020.6503027906,1004581.241648719
2021-12-01,915629.3309892393,1044450.5058410643,991131.5682803923
2021-12-02,945144.7466844297,1054112.4643261514,1009127.8889941637
2021-12-03,940963.6359132505,1052886.1750728807,1007388.3872841356
2021-12-06,966786.9217866636,1071808.8521153587,1026235.4547455304
2021-12-07,987739.4165071226,1088574.947444428,1040580.0281169752
2021-12-08,992232.3455690122,1092927.611093194,1041608.9810452805
2021-12-09,999093.287318585,1093103.674553608,1041607.2740895269
2021-12-10,1006268.5676912046,1109205.2685719589,1047908.4443556322
2021-12-13,998761.0510209776,1092210.308559496,1038585.0520291493
2021-12-14,997620.9805940366,1084640.2806834537,1035474.6372548327
2021-12-15,1004159.5458940244,1107275.9141600097,1046639.4934483625
2021-12-16,1009394.1298631406,1084225.0352102066,1045771.6771432024
2021-12-17,991482.3866227842,1067965.9969119306,1030267.6256268226
2021-12-20,977297.950801251,1061293.4705279735,1017645.256813769
2021-12-21,1002331.77830827,1076154.4981125311,1033974.9059296683
2021-12-22,1011699.9902452207,1088937.5774427436,1041583.9456942269
2021-12-23,1010406.8576158262,1092221.51218445,1047313.2857828566
2021-12-27,1015407.8423570371,1110222.7761282816,1057562.5309101238
2021-12-28,1018800.6622499204,1110942.8667645068,1060354.3139437574
2021-12-29,1018201.1746705747,1117634.467987457,1062988.374265753
2021-12-30,1018063.4287294126,1113599.9012602135,1060350.4448440492
2021-12-31,1015976.7653917051,1114983.4848440543,1058609.0085841666
2022-01-03,1035534.0441545225,1116870.8609167656,1065797.568248074
