price,signals,cash,positions,wealth
183.69,0,2000.0,0.0,2000.0
183.69,0,2000.0,0.0,2000.0
183.45,0,2000.0,0.0,2000.0
183.49,1,1815.51,183.49,1999.0
183.53,0,1815.51,183.53,1999.04
183.48,0,1815.51,183.48,1998.99
183.29,0,1815.51,183.29,1998.8
182.95,0,1815.51,182.95,1998.46
182.93,0,1815.51,182.93,1998.44
182.85,0,1815.51,182.85,1998.36
183.06,0,1815.51,183.06,1998.57
183.09,0,1815.51,183.09,1998.6
183.18,0,1815.51,183.18,1998.69
183.18,0,1815.51,183.18,1998.69
183.43,0,1815.51,183.43,1998.94
183.53,0,1815.51,183.53,1999.04
183.64,0,1815.51,183.64,1999.15
183.9,0,1815.51,183.9,1999.41
183.79,0,1815.51,183.79,1999.3
183.84,0,1815.51,183.84,1999.35
183.84,0,1815.51,183.84,1999.35
183.88,0,1815.51,183.88,1999.3899999999999
183.86,0,1815.51,183.86,1999.37
183.81,0,1815.51,183.81,1999.32
183.69,0,1815.51,183.69,1999.2
183.76,0,1815.51,183.76,1999.27
183.63,0,1815.51,183.63,1999.1399999999999
183.72,0,1815.51,183.72,1999.23
183.83,0,1815.51,183.83,1999.34
183.62,0,1815.51,183.62,1999.13
183.75,0,1815.51,183.75,1999.26
183.69,0,1815.51,183.69,1999.2
183.84,0,1815.51,183.84,1999.35
184.09,0,1815.51,184.09,1999.6
183.96,0,1815.51,183.96,1999.47
184.0,0,1815.51,184.0,1999.51
184.03,0,1815.51,184.03,1999.54
183.99,0,1815.51,183.99,1999.5
183.88,0,1815.51,183.88,1999.3899999999999
183.89,0,1815.51,183.89,1999.4
183.8,0,1815.51,183.8,1999.31
183.89,0,1815.51,183.89,1999.4
184.03,0,1815.51,184.03,1999.54
184.03,0,1815.51,184.03,1999.54
183.97,0,1815.51,183.97,1999.48
183.93,0,1815.51,183.93,1999.44
183.98,0,1815.51,183.98,1999.49
184.0,0,1815.51,184.0,1999.51
183.97,0,1815.51,183.97,1999.48
184.0,0,1815.51,184.0,1999.51
184.08,0,1815.51,184.08,1999.59
184.08,0,1815.51,184.08,1999.59
184.03,0,1815.51,184.03,1999.54
184.21,0,1815.51,184.21,1999.72
184.24,0,1815.51,184.24,1999.75
184.19,0,1815.51,184.19,1999.7
184.1,0,1815.51,184.1,1999.61
184.1,0,1815.51,184.1,1999.61
184.22,0,1815.51,184.22,1999.73
184.21,0,1815.51,184.21,1999.72
184.32,0,1815.51,184.32,1999.83
184.38,0,1815.51,184.38,1999.8899999999999
184.37,0,1815.51,184.37,1999.88
184.27,0,1815.51,184.27,1999.78
184.19,0,1815.51,184.19,1999.7
184.28,0,1815.51,184.28,1999.79
184.28,0,1815.51,184.28,1999.79
184.22,0,1815.51,184.22,1999.73
184.27,0,1815.51,184.27,1999.78
184.04,0,1815.51,184.04,1999.55
183.64,0,1815.51,183.64,1999.15
183.53,0,1815.51,183.53,1999.04
183.61,0,1815.51,183.61,1999.12
183.82,0,1815.51,183.82,1999.33
183.84,0,1815.51,183.84,1999.35
183.93,0,1815.51,183.93,1999.44
183.87,0,1815.51,183.87,1999.38
