price,signals,cash,positions,wealth
213.06,0,2000.0,0.0,2000.0
213.08,0,2000.0,0.0,2000.0
213.1,1,1785.9,213.1,1999.0
212.63,0,1785.9,212.63,1998.5300000000002
212.57,0,1785.9,212.57,1998.47
212.28,0,1785.9,212.28,1998.18
211.84,-1,1996.74,0.0,1996.74
212.09,0,1996.74,0.0,1996.74
211.84,0,1996.74,0.0,1996.74
212.24,0,1996.74,0.0,1996.74
212.72,0,1996.74,0.0,1996.74
212.72,0,1996.74,0.0,1996.74
212.59,0,1996.74,0.0,1996.74
212.51,0,1996.74,0.0,1996.74
212.61,0,1996.74,0.0,1996.74
212.4,0,1996.74,0.0,1996.74
212.44,0,1996.74,0.0,1996.74
212.52,0,1996.74,0.0,1996.74
212.46,0,1996.74,0.0,1996.74
212.43,0,1996.74,0.0,1996.74
212.4,0,1996.74,0.0,1996.74
212.47,0,1996.74,0.0,1996.74
212.49,0,1996.74,0.0,1996.74
212.61,0,1996.74,0.0,1996.74
212.82,0,1996.74,0.0,1996.74
212.8,0,1996.74,0.0,1996.74
212.74,0,1996.74,0.0,1996.74
213.09,0,1996.74,0.0,1996.74
213.52,1,1782.22,213.52,1995.74
213.71,0,1782.22,213.71,1995.93
213.38,0,1782.22,213.38,1995.6
213.18,0,1782.22,213.18,1995.4
212.97,0,1782.22,212.97,1995.19
213.13,0,1782.22,213.13,1995.35
212.89,0,1782.22,212.89,1995.1100000000001
212.59,0,1782.22,212.59,1994.81
212.52,0,1782.22,212.52,1994.74
212.66,0,1782.22,212.66,1994.88
212.66,0,1782.22,212.66,1994.88
212.78,0,1782.22,212.78,1995.0
212.71,0,1782.22,212.71,1994.93
212.75,0,1782.22,212.75,1994.97
212.82,0,1782.22,212.82,1995.04
212.89,0,1782.22,212.89,1995.1100000000001
212.86,0,1782.22,212.86,1995.08
212.92,0,1782.22,212.92,1995.14
213.22,0,1782.22,213.22,1995.44
213.22,0,1782.22,213.22,1995.44
213.22,0,1782.22,213.22,1995.44
213.18,0,1782.22,213.18,1995.4
213.31,0,1782.22,213.31,1995.53
213.38,0,1782.22,213.38,1995.6
213.21,0,1782.22,213.21,1995.43
213.41,0,1782.22,213.41,1995.63
213.47,0,1782.22,213.47,1995.69
213.47,0,1782.22,213.47,1995.69
213.59,0,1782.22,213.59,1995.81
213.83,0,1782.22,213.83,1996.05
213.9,0,1782.22,213.9,1996.1200000000001
213.96,0,1782.22,213.96,1996.18
213.91,0,1782.22,213.91,1996.13
214.12,0,1782.22,214.12,1996.3400000000001
213.8,0,1782.22,213.8,1996.02
213.77,0,1782.22,213.77,1995.99
213.51,0,1782.22,213.51,1995.73
213.72,0,1782.22,213.72,1995.94
213.96,0,1782.22,213.96,1996.18
213.99,0,1782.22,213.99,1996.21
214.3,0,1782.22,214.3,1996.52
214.25,0,1782.22,214.25,1996.47
214.03,0,1782.22,214.03,1996.25
214.02,0,1782.22,214.02,1996.24
214.13,0,1782.22,214.13,1996.35
214.16,0,1782.22,214.16,1996.38
214.15,0,1782.22,214.15,1996.3700000000001
214.22,0,1782.22,214.22,1996.44
214.39,0,1782.22,214.39,1996.6100000000001
