,country_code,country_name,continent,growth
0,ABW,Aruba,North America,18.363109465891046
1,AFG,Afghanistan,Asia,58.3037176097302
2,AGO,Angola,Africa,40.27228979375986
3,ALB,Albania,Europe,35.11571126388151
4,ARE,United Arab Emirates,Asia,46.6573982020095
5,ARG,Argentina,South America,24.392125859333657
6,ARM,Armenia,Asia,22.580703331570586
7,ATG,Antigua and Barbuda,North America,21.142797461660496
8,AUS,Australia,Oceania,23.746411112974116
9,AUT,Austria,Europe,24.206882408326997
10,AZE,Azerbaijan,Asia,25.718471708090924
11,BDI,Burundi,Africa,33.55102591221569
12,BEL,Belgium,Europe,21.39652010163671
13,BEN,Benin,Africa,39.16668429402429
14,BFA,Burkina Faso,Africa,39.74031729243782
15,BGD,Bangladesh,Asia,51.827297726070796
16,BGR,Bulgaria,Europe,6.797927280700594
17,BHR,Bahrain,Asia,39.394077207826555
18,BHS,"Bahamas, The",North America,17.377123215230025
19,BIH,Bosnia and Herzegovina,Europe,23.637757800105774
20,BLR,Belarus,Europe,2.8283739407462356
21,BLZ,Belize,North America,22.910512956107862
22,BMU,Bermuda,North America,24.603027540481623
23,BOL,Bolivia,South America,46.134849286091956
24,BRA,Brazil,South America,38.86204124801688
25,BRB,Barbados,North America,18.332575356954
26,BRN,Brunei Darussalam,Asia,27.37310417768376
27,BTN,Bhutan,Asia,68.5525859333685
28,BWA,Botswana,Africa,11.164627181385528
29,CAF,Central African Republic,Africa,14.026837652035962
30,CAN,Canada,North America,19.99331106267173
31,CHE,Switzerland,Europe,22.045074873276516
32,CHL,Chile,South America,40.29121099947113
33,CHN,China,Asia,50.67113696456903
34,CIV,Cote d'Ivoire,Africa,26.928614489687984
35,CMR,Cameroon,Africa,28.624838709677427
36,COD,"Congo, Dem. Rep.",Africa,33.35758328926491
37,COG,"Congo, Rep.",Africa,18.622009518773115
38,COL,Colombia,South America,31.57794288736115
39,COM,Comoros,Africa,41.30106821787412
40,CPV,Cabo Verde,Africa,46.02008989952401
41,CRI,Costa Rica,North America,31.531401374933875
42,CUB,Cuba,North America,22.04932839767318
43,CUW,Curacao,North America,28.6700643521086
44,CYP,Cyprus,Asia,29.549619249074528
45,CZE,Czechia,Europe,17.415478969702395
46,DEU,Germany,Europe,21.977300821606846
47,DJI,Djibouti,Africa,31.75158117398199
